"Title","Year","Album.debut","Duration","Other.releases","Genre","Songwriter","Lead.vocal","Top.50.Billboard","Platinum","Score"
"12-Bar Original",1965,"Anthology 2",174,NA,"Blues","Lennon, McCartney, Harrison and Starkey","",NA,FALSE,6
"A Day in the Life",1967,"Sgt. Pepper's Lonely Hearts Club Band",335,12,"Psychedelic Rock, Art Rock, Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA,TRUE,6
"A Hard Day's Night",1964,"UK: A Hard Day's Night US: 1962-1966",152,35,"Rock, Electronic, Pop/Rock","Lennon","Lennon, with McCartney",8,TRUE,6
"12-Bar Original",1965,"Anthology 2",174,NA,"Blues","Lennon, McCartney, Harrison and Starkey","",NA,FALSE,6
"A Shot of Rhythm and Blues",1963,"Live at the BBC",104,NA,"R&B, Pop/Rock","Thompson","Lennon",NA,TRUE,10
"A Taste of Honey",1963,"UK: Please Please Me US: The Early Beatles",163,29,"Pop/Rock, Jazz, Stage&Screen","Scott, Marlow","McCartney",NA,FALSE,6
"Across the Universe",1968,"Let It Be",230,19,"Psychedelic folk, Pop/Rock","Lennon","Lennon",NA,TRUE,9
"Act Naturally",1965,"UK: Help! US: Yesterday and Today",139,14,"Country, Pop/Rock","Russell, Morrison","Starkey",50,FALSE,9
"Ain't She Sweet",1961,"Anthology 1",NA,9,"Pop/Rock","Yellen, Ager","Lennon",41,FALSE,5
"All I've Got to Do",1963,"UK: With the Beatles US: Meet The Beatles!",124,9,"Pop/Rock","Lennon","Lennon",NA,FALSE,10
"All My Loving",1963,"UK: With the Beatles US: Meet The Beatles!",124,32,"Pop/Rock","McCartney","McCartney",NA,TRUE,6
"All Things Must Pass",1969,"Anthology 3",227,NA,"Folk Rock, Pop/Rock","Harrison","Harrison",NA,FALSE,7
"All Together Now",1967,"Yellow Submarine",130,8,"Skiffle, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA,FALSE,8
"All You Need Is Love",1967,"Magical Mystery Tour",237,25,"Pop/Rock","Lennon","Lennon",15,FALSE,8
"And I Love Her",1964,"UK: A Hard Day's Night US: Something New",152,29,"Pop/Rock","McCartney, with Lennon","McCartney",37,FALSE,10
"And Your Bird Can Sing",1966,"UK: Revolver US: Yesterday and Today",121,9,"Power Pop, Psychedelic Pop, Pop/Rock","Lennon, with McCartney","Lennon",NA,TRUE,10
"Anna (Go to Him)",1963,"UK: Please Please Me US: The Early Beatles",168,16,"Soul, Pop/Rock","Alexander","Lennon",NA,FALSE,10
"Another Girl",1965,"Help!",124,9,"Country Rock, Pop/Rock","McCartney","McCartney",NA,TRUE,5
"Any Time at All",1964,"UK: A Hard Day's Night US: Something New",133,15,"Pop/Rock","Lennon, with McCartney","Lennon, with McCartney",NA,TRUE,9
"Ask Me Why",1962,"UK: Please Please Me US: The Early Beatles",144,24,"Pop/Rock","Lennon, with McCartney","Lennon",NA,FALSE,6
"Baby It's You",1963,"UK: Please Please Me US: The Early Beatles",162,17,"Pop/Rock","Bacharach, David, Dixon","Lennon",NA,TRUE,8
"Baby's in Black",1964,"UK: Beatles for Sale US: Beatles '65",122,20,"Folk Rock, Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA,FALSE,7
"Baby, You're a Rich Man",1967,"Magical Mystery Tour",183,10,"Psychedelic Pop, Psychedelic Rock, Pop/Rock","Lennon and McCartney","Lennon",48,TRUE,10
"Back in the U.S.S.R.",1968,"The Beatles",163,13,"Rock and Roll, Hard Rock, Pop/Rock","McCartney","McCartney",NA,FALSE,10
"Bad Boy",1965,"UK: A Collection of Beatles Oldies US: Beatles VI",NA,NA,"R&B","Williams","Lennon",NA,FALSE,8
"Bad to Me",1963,"The Beatles Bootleg Recordings 1963",142,NA,"Beat, Pop/Rock","Lennon","Lennon",NA,TRUE,9
"Beautiful Dreamer",1963,"On Air - Live at the BBC Volume 2",106,NA,"Pop/Rock","Foster","McCartney",NA,TRUE,5
"Because I Know You Love Me So",1969,"Let It Be... Naked - Fly on the Wall bonus disc",NA,NA,"","Lennon, McCartney","Lennon, McCartney",NA,TRUE,9
"Because",1969,"Abbey Road",165,11,"Pop/Rock","Lennon","Lennon, McCartney, Harrison",NA,FALSE,6
"Being for the Benefit of Mr. Kite!",1967,"Sgt. Pepper's Lonely Hearts Club Band",157,7,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","Lennon, with McCartney","Lennon",NA,TRUE,5
"Birthday",1968,"The Beatles",162,11,"Hard Rock, Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA,TRUE,7
"Blackbird",1968,"The Beatles",139,12,"Folk, Pop/Rock","McCartney","McCartney",NA,TRUE,9
"Blue Jay Way",1967,"Magical Mystery Tour",235,13,"Psychedelic Rock, Pop/Rock","Harrison","Harrison",NA,FALSE,10
"Boys",1963,"UK: Please Please Me US: The Early Beatles",144,21,"Rock and Roll, Pop/Rock","Dixon, Farrell","Starkey (Best)",NA,TRUE,6
"Bésame Mucho",1962,"Anthology 1",NA,NA,"Bolero","Velázquez, Skylar","McCartney",NA,FALSE,6
"Can't Buy Me Love",1964,"UK: A Hard Day's Night US: Hey Jude",131,42,"Pop/Rock","McCartney","McCartney, with Lennon",10,FALSE,10
"Carol",1963,"Live at the BBC",NA,NA,"Rock and Roll, Pop/Rock","Berry","Lennon",NA,TRUE,5
"Carry That Weight",1969,"Abbey Road",96,5,"Symphonic Rock, Pop/Rock","McCartney","McCartney, with Lennon, Harrison and Starkey",NA,FALSE,9
"Catswalk",1962,"",NA,NA,"Pop/Rock","McCartney","N/A",NA,TRUE,6
"Cayenne",1960,"Anthology 1",144,NA,"Instrumental Rock, Pop/Rock","McCartney","N/A",NA,FALSE,7
"Chains",1963,"UK: Please Please Me US: The Early Beatles",143,18,"Rock and Roll, Pop/Rock","Goffin, King","Harrison, with Lennon and McCartney",NA,FALSE,5
"Child of Nature",1968,"Let It Be... Naked - Fly on the Wall bonus disc",254,NA,"Soft Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,10
"Christmas Time (Is Here Again)",1967,"The Beatles' Christmas Album",183,NA,"Pop/Rock","Lennon, McCartney, Harrison and Starkey","Lennon, McCartney, Harrison and Starkey",NA,TRUE,8
"Circles",1968,"",226,NA,"Hindustani Blues, Pop/Rock","Harrison","Harrison",NA,TRUE,5
"Clarabella",1963,"Live at the BBC",160,NA,"Pop/Rock","Pingatore","McCartney",NA,FALSE,9
"Come and Get It",1969,"Anthology 3",142,NA,"Power Pop, Pop/Rock","McCartney","McCartney",NA,FALSE,5
"Come Together",1969,"Abbey Road",258,17,"Blues Rock, Pop/Rock","Lennon","Lennon",6,FALSE,10
"Cry Baby Cry",1968,"The Beatles",183,10,"Pop/Rock","Lennon","Lennon, with McCartney",NA,TRUE,5
"Cry for a Shadow",1961,"Anthology 1",140,NA,"Instrumental Rock, Pop/Rock","Lennon and Harrison","N/A",NA,TRUE,9
"Crying, Waiting, Hoping",1963,"Live at the BBC",130,NA,"Rock and Roll, Pop/Rock","Buddy Holly","Harrison",NA,FALSE,7
"Day Tripper",1965,"UK: A Collection of Beatles Oldies US: Yesterday and Today",170,20,"Rock, Pop/Rock","Lennon, with McCartney","Lennon and McCartney",29,FALSE,10
"Dear Prudence",1968,"The Beatles",236,9,"Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,5
"Devil in Her Heart",1963,"UK: With the Beatles US: The Beatles Second Album",147,11,"Rock, Pop/Rock","Drapkin (aka Ricky Dee)","Harrison",NA,TRUE,5
"Dig a Pony",1969,"Let It Be",232,12,"Blues Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,7
"Dig It",1969,"Let It Be",51,10,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey","Lennon",NA,TRUE,8
"Dizzy, Miss Lizzy",1965,"UK: Help! US: Beatles VI",145,18,"Rock and Roll, Pop/Rock","Williams","Lennon",NA,FALSE,7
"Do You Want to Know a Secret?",1963,"UK: Please Please Me US: The Early Beatles",116,23,"Pop/Rock","Lennon","Harrison",26,TRUE,8
"Doctor Robert",1966,"UK: Revolver US: Yesterday and Today",135,6,"Psychedelic Rock, Power Pop, Pop/Rock","Lennon, with McCartney","Lennon",NA,TRUE,5
"Don't Bother Me",1963,"UK: With the Beatles US: Meet The Beatles!",149,11,"Rock and Roll, Pop/Rock","Harrison","Harrison",NA,FALSE,10
"Don't Ever Change",1963,"Live at the BBC",123,NA,"Pop/Rock","Goffin, King","Harrison",NA,TRUE,10
"Don't Let Me Down",1969,"UK: 1967-1970 US: Hey Jude",215,17,"Blues Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,10
"Don't Pass Me By",1968,"The Beatles",231,11,"Country Rock, Pop/Rock","Starkey","Starkey",NA,TRUE,8
"Drive My Car",1965,"UK: Rubber Soul US: Yesterday and Today",148,17,"Rock, R&B, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA,FALSE,6
"Eight Days a Week",1964,"UK: Beatles for Sale US: Beatles VI",164,23,"Rock, Pop/Rock","McCartney, with Lennon","Lennon, with McCartney",21,FALSE,9
"Eleanor Rigby",1966,"Revolver",128,16,"Baroque Pop, Art Rock, Pop/Rock","McCartney","McCartney",38,FALSE,6
"Etcetera",1968,"",NA,NA,"Pop/Rock","McCartney","McCartney",NA,TRUE,10
"Every Little Thing",1964,"UK: Beatles for Sale US: Beatles VI",121,9,"Rock, Pop/Rock","McCartney","Lennon, with McCartney",NA,TRUE,7
"Everybody's Got Something to Hide Except Me and My Monkey",1968,"The Beatles",144,10,"Hard Rock, Pop/Rock","Lennon","Lennon",NA,FALSE,10
"Everybody's Trying to Be My Baby",1964,"UK: Beatles for Sale US: Beatles '65",143,21,"Rock and Roll, Rockabilly, Pop/Rock","Perkins","Harrison",NA,FALSE,8
"Fancy My Chances with You",1969,"Let It Be... Naked - Fly on the Wall bonus disc",NA,NA,"Pop/Rock","?","?",NA,FALSE,10
"Fixing a Hole",1967,"Sgt. Pepper's Lonely Hearts Club Band",146,5,"Psychedelic pop, Baroque Pop, Pop/Rock","McCartney","McCartney",NA,FALSE,7
"Flying",1967,"Magical Mystery Tour",137,12,"Psychedelic Rock, Instrumental Rock, Space Rock, Pop/Rock","Lennon, McCartney, Harrison and Starkey","N/A",NA,TRUE,7
"For No One",1966,"Revolver",121,9,"Baroque Pop, Pop/Rock","McCartney","McCartney",NA,FALSE,10
"For You Blue",1969,"Let It Be",152,13,"Country Blues, Pop/Rock, Blues","Harrison","Harrison",NA,TRUE,6
"Free as a Bird",1977,"Anthology 1",266,NA,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey","Lennon, McCartney and Harrison",39,TRUE,6
"From Me to You",1963,"UK: A Collection of Beatles Oldies US: 1962-1966",116,34,"Merseybeat, Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA,TRUE,10
"From Us to You",1963,"Live at the BBC",NA,2,"Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA,TRUE,7
"Get Back",1969,"Let It Be",194,28,"Blues Rock, Pop/Rock","McCartney","McCartney",4,FALSE,5
"Getting Better",1967,"Sgt. Pepper's Lonely Hearts Club Band",167,5,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon","McCartney",NA,TRUE,10
"Girl",1965,"Rubber Soul",153,17,"Folk, Pop/Rock","Lennon","Lennon",NA,TRUE,6
"Glad All Over",1963,"Live at the BBC",112,NA,"Pop/Rock","Bennett, Tepper, Schroeder","Harrison",NA,FALSE,8
"Glass Onion",1968,"The Beatles",137,8,"Psychedelic Rock, Pop/Rock","Lennon","Lennon",NA,FALSE,10
"Golden Slumbers",1969,"Abbey Road",91,5,"Rock, Baroque Pop, Pop/Rock","McCartney","McCartney",NA,FALSE,7
"Good Day Sunshine",1966,"Revolver",129,7,"Sunshine Pop, Music Hall, Pop/Rock","McCartney","McCartney",NA,TRUE,8
"Good Morning, Good Morning",1967,"Sgt. Pepper's Lonely Hearts Club Band",161,6,"Rock, Hard Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,6
"Good Night",1968,"The Beatles",191,8,"Orchestral Pop, Lullaby, Pop/Rock","Lennon","Starkey",NA,FALSE,5
"Goodbye",1969,"",NA,NA,"Children's, Pop/Rock","McCartney","McCartney",NA,FALSE,8
"Got to Get You into My Life",1966,"Revolver",147,8,"R&B, Rock, Jazz Fusion, Pop/Rock","McCartney","McCartney",23,FALSE,7
"Hallelujah, I Love Her So",1960,"Anthology 1",155,NA,"Blues, Jazz, R&B, Pop/Rock","Charles","McCartney",NA,TRUE,6
"Happiness Is a Warm Gun",1968,"The Beatles",163,7,"Pop/Rock","Lennon","Lennon",NA,TRUE,5
"Heather",1968,"",130,NA,"Rock, Pop/Rock","McCartney","McCartney",NA,TRUE,5
"Hello Little Girl",1962,"Anthology 1",NA,NA,"Merseybeat, Pop/Rock","Lennon","Lennon",NA,FALSE,8
"Hello, Goodbye",1967,"Magical Mystery Tour",207,14,"Pop/Rock","McCartney","McCartney",7,TRUE,9
"Help!",1965,"Help!",138,34,"Folk Rock, Pop/Rock","Lennon, with McCartney","Lennon",14,FALSE,10
"Helter Skelter",1968,"The Beatles",270,13,"Hard Rock, Heavy Metal[, Proto-Punk, Pop/Rock","McCartney","McCartney",NA,FALSE,8
"Her Majesty",1969,"Abbey Road",23,8,"Music Hall, Folk, Pop/Rock","McCartney","McCartney",NA,FALSE,9
"Here Comes the Sun",1969,"Abbey Road",186,6,"Folk Pop, Pop/Rock","Harrison","Harrison",NA,FALSE,9
"Here, There and Everywhere",1966,"Revolver",145,11,"Soft Rock, Pop/Rock","McCartney","McCartney",NA,FALSE,6
"Hey Bulldog",1968,"Yellow Submarine",194,12,"Psychedelic Rock, Hard Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,8
"Hey Jude",1968,"UK: 1967-1970 US: Hey Jude",431,28,"Rock, Pop/Rock","McCartney","McCartney",1,TRUE,7
"Hippy Hippy Shake",1963,"Live at the BBC",106,NA,"Rock & Roll, Pop/Rock","Romero","McCartney",NA,TRUE,7
"Hold Me Tight",1963,"UK: With the Beatles US: Meet The Beatles!",152,16,"Rock & Roll, Pop/Rock","McCartney, with Lennon","McCartney",NA,TRUE,8
"Honey Don't",1964,"UK: Beatles for Sale US: Beatles '65",173,14,"Rockabilly, Pop/Rock","Perkins","Starkey",NA,TRUE,5
"Honey Pie",1968,"The Beatles",161,8,"Music Hall, Jazz, Ragtime, Pop/Rock","McCartney","McCartney",NA,FALSE,9
"How Do You Do It?",1962,"Anthology 1",119,NA,"Merseybeat, Pop/Rock","Murray","Lennon",NA,FALSE,6
"I Am the Walrus",1967,"Magical Mystery Tour",273,20,"Psychedelic Rock, Acid Rock, Experimental Rock, Pop/Rock","Lennon","Lennon",NA,FALSE,6
"I Call Your Name",1964,"UK: Past Masters Volume 1 US: The Beatles Second Album",129,16,"Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,6
"I Don't Want to Spoil the Party",1964,"UK: Beatles for Sale US: Beatles VI",153,11,"Country Rock, Pop/Rock","Lennon","Lennon",49,TRUE,8
"I Feel Fine",1964,"UK: A Collection of Beatles Oldies US: Beatles '65",145,35,"Rock, Pop/Rock","Lennon","Lennon",11,TRUE,6
"I Forgot to Remember to Forget",1964,"Live at the BBC",148,NA,"Country, Pop/Rock","Stan Kesler and Charlie Feathers","Harrison",NA,FALSE,5
"I Got a Woman",1963,"Live at the BBC",151,NA,"Jump Blues, R&B, Pop/Rock","Charles","Lennon",NA,TRUE,7
"I Got to Find My Baby",1963,"Live at the BBC",116,NA,"Rock, Pop/Rock","Berry","Lennon",NA,FALSE,10
"I Just Don't Understand",1963,"Live at the BBC",167,NA,"Rock, Pop/Rock","Wilkin, Westberry","Lennon",NA,FALSE,6
"I Lost My Little Girl",1962,"",105,NA,"Rock, R&B, Pop/Rock","McCartney","Lennon",NA,TRUE,9
"I Me Mine",1970,"Let It Be",145,10,"Folk blues, Hard Rock, Pop/Rock","Harrison","Harrison",NA,TRUE,6
"I Need You",1965,"Help!",148,11,"Pop/Rock","Harrison","Harrison",NA,FALSE,8
"I Saw Her Standing There",1963,"UK: Please Please Me US: Meet The Beatles!",175,42,"Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",36,TRUE,8
"I Should Have Known Better",1964,"UK: A Hard Day's Night US: Hey Jude",164,18,"Pop/Rock","Lennon","Lennon",NA,FALSE,10
"I Wanna Be Your Man",1963,"UK: With the Beatles US: Meet The Beatles!",103,25,"Rock and Roll, R&B, Pop/Rock","McCartney, with Lennon","Starkey",NA,TRUE,10
"I Want to Hold Your Hand",1963,"UK: A Collection of Beatles Oldies US: Meet The Beatles!",144,34,"Rock and Roll, Pop/Rock","Lennon and McCartney","Lennon and McCartney",2,FALSE,6
"I Want to Tell You",1966,"Revolver",149,5,"Psychedelic Rock, Pop/Rock","Harrison","Harrison",NA,TRUE,5
"I Want You (She's So Heavy)",1969,"Abbey Road",467,5,"Blues Rock, Hard Rock, Progressive Rock, Pop/Rock","Lennon","Lennon",NA,TRUE,5
"I Will",1968,"The Beatles",106,8,"Folk, Pop/Rock","McCartney","McCartney",NA,FALSE,10
"I'll Be Back",1964,"UK: A Hard Day's Night US: Beatles '65",140,14,"Rock, Pop/Rock","Lennon","Lennon, with McCartney",NA,TRUE,8
"I'll Be on My Way",1963,"Live at the BBC",118,NA,"Pop/Rock","McCartney","Lennon",NA,TRUE,6
"I'll Cry Instead",1964,"UK: A Hard Day's Night US: Something New",129,14,"Rock and Roll, Country, Pop/Rock","Lennon","Lennon",43,TRUE,5
"I'll Follow the Sun",1964,"UK: Beatles for Sale US: Beatles '65",106,17,"Folk Rock, Country, Pop/Rock","McCartney","McCartney, with Lennon",NA,FALSE,5
"I'll Get You",1963,"UK: Past Masters Volume 1 US: The Beatles Second Album",124,13,"Merseybeat, Pop/Rock","Lennon and McCartney","Lennon, with McCartney",NA,TRUE,5
"I'll Keep You Satisfied",1963,"",NA,NA,"Pop/Rock","McCartney, with Lennon","Lennon and/or McCartney",NA,FALSE,8
"I'm a Loser",1964,"UK: Beatles for Sale US: Beatles '65",151,17,"Folk Rock, Country, Pop/Rock","Lennon","Lennon",NA,TRUE,5
"I'm Down",1965,"Rock 'n' Roll Music",153,20,"Rock and Roll, Pop/Rock","McCartney","McCartney",NA,TRUE,10
"I'm Gonna Sit Right Down and Cry (Over You)",1963,"Live at the BBC",121,NA,"Pop/Rock","Thomas, Biggs","Lennon",NA,FALSE,8
"I'm Happy Just to Dance with You",1964,"UK: A Hard Day's Night US: Something New",118,5,"Rock, Pop/Rock","Lennon and McCartney","Harrison",NA,FALSE,8
"I'm In Love",1963,"The Beatles Bootleg Recordings 1963",92,NA,"Rock and Roll, Pop/Rock","Lennon","Lennon",NA,FALSE,6
"I'm Looking Through You",1965,"Rubber Soul",147,15,"Folk Rock, Pop/Rock","McCartney","McCartney, with Lennon",NA,TRUE,7
"I'm Only Sleeping",1966,"UK: Revolver US: Yesterday and Today",182,10,"Psychedelic Rock, Psychedelic Folk, Pop/Rock","Lennon","Lennon",NA,FALSE,9
"I'm So Tired",1968,"The Beatles",123,11,"Blues Rock, Pop/Rock","Lennon","Lennon",NA,FALSE,7
"I'm Talking About You",1962,"Live! at the Star-Club in Hamburg, Germany; 1962",NA,NA,"Rock and Roll, Pop/Rock","Berry","Lennon",NA,TRUE,7
"I'm Talking About You",1963,"On Air - Live at the BBC Volume 2",112,NA,"Pop/Rock","Berry","Lennon",NA,TRUE,9
"I've Got a Feeling",1969,"Let It Be",217,12,"Blues Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA,FALSE,8
"I've Just Seen a Face",1965,"UK: Help! US: Rubber Soul",127,10,"Folk Rock, Country, Pop/Rock","McCartney","McCartney",NA,TRUE,9
"If I Fell",1964,"UK: A Hard Day's Night US: Something New",142,21,"Pop/Rock","Lennon","Lennon, with McCartney",NA,TRUE,6
"If I Needed Someone",1965,"UK: Rubber Soul US: Yesterday and Today",143,13,"Folk Rock, Pop/Rock","Harrison","Harrison",NA,FALSE,9
"If You've Got Trouble",1965,"Anthology 2",169,NA,"Rock, Pop/Rock","Lennon and McCartney","Starkey",NA,FALSE,10
"In My Life",1965,"Rubber Soul",148,12,"Baroque Pop, Pop/Rock","Lennon and McCartney","Lennon",NA,TRUE,9
"In Spite of All the Danger",1958,"Anthology 1",164,NA,"Skiffle, Blues, Rock and Roll, Pop/Rock","McCartney and Harrison","Lennon",NA,TRUE,7
"It Won't Be Long",1963,"UK: With the Beatles US: Meet The Beatles!",133,13,"Rock, Pop/Rock","Lennon, with McCartney","Lennon",NA,FALSE,7
"It's All Too Much",1967,"Yellow Submarine",388,11,"Psychedelic Rock, Acid Rock, Pop/Rock","Harrison","Harrison",NA,FALSE,6
"It's Only Love",1965,"UK: Help! US: Rubber Soul",115,15,"Folk Rock, Pop/Rock","Lennon","Lennon",NA,FALSE,10
"Jazz Piano Song",1969,"",NA,NA,"Boogie-Woogie","McCartney, Starkey","McCartney",NA,TRUE,6
"Jessie's Dream",1967,"",NA,NA,"","Lennon, McCartney, Harrison, Starkey","N/A",NA,FALSE,7
"Johnny B. Goode",1964,"Live at the BBC",161,NA,"Rock and Roll, Pop/Rock","Berry","Lennon",NA,FALSE,9
"Julia",1968,"The Beatles",174,10,"Folk, Pop/Rock","Lennon","Lennon",NA,FALSE,9
"Junk",1968,"Anthology 3",114,NA,"Folk, Pop/Rock","McCartney","McCartney",NA,TRUE,5
"Kansas City/Hey, Hey, Hey, Hey",1964,"UK: Beatles for Sale US: Beatles VI",163,8,"R&B, Rock and Roll, Pop/Rock","Leiber, Stoller/Penniman","McCartney",NA,FALSE,9
"Keep Your Hands Off My Baby",1963,"Live at the BBC",149,NA,"Pop/Rock","Goffin, King","Lennon",NA,TRUE,8
"Komm Gib Mir Deine Hand",1964,"UK: Rarities US: Something New",146,8,"Rock and Roll, Pop/Rock","Lennon/McCartney/Nicolas/Hellmer","Lennon and McCartney",NA,FALSE,10
